117,макс кол-во симв. =15,,ключ для смайла,json,
(o´▽o),6,,,,
( ´ ω ),7,,,,
(((o(*°▽°*)o))),15,,,,
(´• ω •),8,,,,
(＾▽＾),5,,,sevgi uchun,(((o(*°▽°*)o)))
╰(▔∀▔)╯,7,,,узбекски,
(─‿‿─),6,,,,
(✯◡✯),5,,,,
(◕‿◕),5,,,,
(⌒‿⌒),5,,,,
＼(≧▽≦)／,7,,,,
(*°▽°*),7,,,,
٩(｡•́‿•̀｡)۶,11,,,,
(´｡• ᵕ •｡),10,,,,
( ´ ▽ ),7,,,,
ヽ(>∀<☆)ノ,8,,,,
o(≧▽≦)o,7,,,,
＼(￣▽￣)／,7,,,,
(*¯︶¯*),7,,,,
(o˘◡˘o),7,,,,
\(★ω★)/,7,,,,
(╯✧▽✧)╯,7,,,,
o(>ω<)o,7,,,,
( ‾́ ◡ ‾́ ),11,,,,
(ﾉ´ヮ)ﾉ*: ･ﾟ,11,,,,
(๑˘︶˘๑),7,,,,
( ˙꒳​˙ ),8,,,,
(´･ᴗ･ ),7,,,,
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,12,,,,
(─‿‿─)♡,7,,,,
(´｡• ᵕ •｡) ♡,12,,,,
(´ ω ♡),7,,,,
♡( ◡‿◡ ),8,,,,
(ღ˘⌣˘ღ),7,,,,
(♡°▽°♡),7,,,,
(´• ω •) ♡,10,,,,
(´ ε )♡,7,,,,
╰(*´︶*)╯♡,9,,,,
(*˘︶˘*).｡.:*♡,13,,,,
(≧◡≦) ♡,7,,,,
(⌒▽⌒)♡,6,,,,
♡ (˘▽˘>ԅ( ˘⌣˘),14,,,,
( ˘⌣˘)♡(˘⌣˘ ),13,,,,
σ(≧ε≦σ) ♡,9,,,,
♡ (⇀ 3 ↼),9,,,,
(˘∀˘)/(μ‿μ) ❤,13,,,,
❤ (ɔˆз(ˆ⌣ˆc),12,,,,
(￣▽￣)ノ,6,,,,
(*・ω・)ﾉ,7,,,,
(°▽°)/,6,,,,
( ´ ∀ )ﾉ,8,,,,
(^-^*)/,7,,,,
(＠´ー)ﾉﾞ,7,,,,
(´• ω •)ﾉ,9,,,,
( ° ∀ ° )ﾉﾞ,11,,,,
∪＾ェ＾∪,5,,,,
∪･ω･∪,5,,,,
∪￣-￣∪,5,,,,
∪･ｪ･∪,5,,,,
Ｕ^皿^Ｕ,5,,,,
ＵＴｪＴＵ,5,,,,
U^ｪ^U,5,,,,
V●ᴥ●V,5,,,,
∪◣_◢∪,5,,,,
(▽◕ ᴥ ◕▽),9,,,,
(☆ω☆),5,,,,
٩(◕‿◕)۶,7,,,,
(´ω｀),5,,,,
(´｡• ᵕ •｡),10,,,,
(´ ▽) (￣▽￣),11,,,,
(⌒ω⌒),5,,,,
ヽ(・ω・)ﾉ,7,,,,
(≧ω≦),5,,,,
＼(≧▽≦)／,7,,,,
╰(▔∀▔)╯,7,,,,
(¯︶¯),5,,,,
(＾▽＾),5,,,,
(✯◡✯),5,,,,
＼(＾▽＾)／,7,,,,
(◕‿◕),5,,,,
｡ﾟ(ﾟ^∀^ﾟ)ﾟ｡,11,,,,
ヽ(>∀<☆)ノ,8,,,,
(´▽*),5,,,,
⌒(o＾▽＾o)ノ,9,,,,
(o´▽o),6,,,,
＼(￣▽￣)／,7,,,,
ヽ(⌒▽⌒)ﾉ,7,,,,
∑d (ﾟ∀ﾟd) o,11,,,,
(≧▽≦)o,6,,,,
(ﾟ▽ﾟ),5,,,,
(≧◡≦),5,,,,
(⌒‿⌒),5,,,,
(＠＾－＾),6,,,,
(っ˘ω˘ς),7,,,,
<(￣︶￣)>,7,,,,
(⌒―⌒),5,,,,
(-‿‿-),6,,,,
ヽ(・∀・)ﾉ,7,,,,
(´｡• ω •｡),10,,,,
ヽ(o^―^o)ﾉ,9,,,,
(o˘◡˘o),7,,,,
(─‿‿─),6,,,,
(*^‿^*),7,,,,
(o^▽^o),7,,,,
╰(*´︶)╯,7,,,,
(((o (ﾟ▽ﾟ*)o))),15,,,,
(^人^),5,,,,
(⌒▽⌒)☆,6,,,,

